fixed,adaptive
3.1385043,3.0044373
3.1211935000000004,2.9463525
3.1136923000000003,2.9830914
3.1190237,2.9046770000000004
3.1218374,2.9648115
3.1971410000000002,2.9473579
3.1674057,2.9918412
3.1704526000000004,2.9773706
3.1946601,3.2787885
3.1345306,3.3700904
3.1246086,3.5785207000000003
3.1054736000000003,3.3546159
3.1563350000000003,3.5062958
3.153334,3.2363596
3.1464835,3.4458979000000003
3.1484006,3.2157372000000004
3.1491389,3.4046399000000003
3.1321241000000004,3.2649818
3.1307605,3.3860651
3.1508905,3.2183694000000003
3.1528211,3.4731532
3.1543904,3.1943049
3.1349744000000004,3.4201819
3.1689844000000003,3.3710151
3.1600949000000003,3.3126906000000003
3.2363686,3.1378416000000002
3.2129871000000003,3.3330450000000003
3.1397681000000004,3.1596685
3.1803967,3.2720184000000003
3.1588088,3.2993831
3.1400609000000004,3.1574602
3.1445804,3.0232466000000002
3.1346194,3.1155028000000002
3.1443313,3.0624794000000004
3.1434025,3.0609635
3.1305961,3.1336907000000003
3.1553569,3.0760748
3.1482013,3.1862085
3.1481946,3.0600371
3.1515660000000003,2.9825405000000003
3.1448565000000004,2.9473454
3.1386615,2.9958564
3.1472508,3.1022127000000004
3.1432498,3.6116522000000004
3.1455842,3.4517230000000003
3.1464226,3.9318112000000003
3.1373852,3.4952059
3.1536843,3.7226655
3.1355664,3.4770879000000003
3.1714044,3.3945541
3.1706749000000003,3.2001752000000003
3.1267378000000003,3.1756359
3.154659,3.2639677000000002
3.1610101000000004,3.133578
3.1042016,3.3069899
3.1658638000000003,3.1122737000000003
3.1976678,3.2154088
3.1093362,3.048703
3.1673223000000004,3.1627358
3.1835910000000003,3.0955586000000004
3.1684819,3.0819244
3.1163089000000004,3.1677847000000003
3.1595417,3.0703404
3.1141495000000003,3.1871258
3.1634537000000003,3.0820803000000003
3.1860402000000003,3.2078677
3.2201617000000002,3.0568814
3.9882643000000004,3.1521759
3.058609,3.1482189000000003
3.0642422000000002,3.0782006
3.0903751,3.1968803
3.0948826,3.0911783
3.1141059,3.1711055000000004
3.091993,3.0546349000000004
3.1410297000000003,3.1118769000000004
3.1197037,3.1341959000000004
3.1232898000000002,3.0599447000000004
3.1298409,3.1867355
3.1278682,3.0780558
3.1318882,3.1757539
3.1627915,3.0324083
3.0993471,3.0510757
3.1204747000000004,3.1372627000000004
3.1494369,3.0579078
3.118526,3.188114
3.1607905,3.0153578000000003
3.2493242,3.0899483
3.1672198000000003,3.1144643000000003
3.24655,3.0713684000000003
3.3254429,3.1787413
3.3969131000000004,3.059561
3.3856948,3.2089376
3.3652509000000004,3.0905832
3.3442220000000002,3.0486586
3.3844193000000002,3.1182782000000002
3.2400577000000004,3.0493105000000003
3.1851585,3.1054846
3.1548048000000004,3.0939158
3.1035168000000004,3.0618873
3.1919882000000004,3.1851436000000004
